16	Prosodic detail in Neapolitan Italian	4425
17	A grammar of Pite Saami	14425
18	A typology of marked-S languages	6728
19	Adjective attribution	7481
20	Syntax und Valenz	10038
22	The Alor-Pantar languages	33672
25	Grammatical theory	78082
27	Grammaire des constructions elliptiques	9301
46	Einführung in die grammatische Beschreibung des Deutschen	86950
48	Natural causes of language	13916
49	The Talking Heads experiment	9852
50	How mobile robots can self-organise a vocabulary	3472
51	Language strategies for the domain of colour	3463
52	The evolution of case grammar	8562
53	The evolution of grounded spatial language	3926
66	A grammar of Yakkha	10505
67	A grammar of Mauwake	6642
73	Grammaticalization in the North	7190
74	A dictionary and grammatical outline of Chakali	9034
75	Linguistic variation, identity construction and cognition	9960
76	New directions in corpus-based translation studies	47878
78	A grammar of Papuan Malay	9422
80	Dual aspectual forms and event structure in Caribbean English Creoles	688
81	The future of dialects	53261
82	A grammar of Palula	7228
83	A grammar of Yauyos Quechua	12982
85	A grammar of Pichi	5009
88	Thoughts on grammaticalization	13574
89	The empirical base of linguistics	14491
91	Roots of language	13122
94	Advances in the study of Siouan languages and linguistics	27165
96	Dependencies in language	19645
97	Die Sprachwissenschaft	6780
98	The Ik language	8497
102	Crossroads between contrastive linguistics, translation studies and machine translation	9689
103	Annotation, exploitation and evaluation of parallel corpora	13714
106	Language technologies for a multilingual Europe	16185
107	New perspectives on cohesion and coherence	24453
108	Eyetracking and Applied Linguistics	27446
109	Tone in Yongning Na	2630
111	Modeling  information structure in a cross-linguistic perspective	4531
115	Order and structure in syntax II	20859
116	Sprachliche Imitation	2027
118	A grammar of Moloko	5350
120	African linguistics on the prairie	59170
121	Diversity in African languages	46611
123	Attributive constructions in North-Eastern Neo-Aramaic	2934
124	A grammar of Rapa Nui	12190
132	Empirical modelling of translation and interpreting	45876
134	Absolute Komplexität in der Nominalflexion	2720
137	Tonal placement in Tashlhiyt	2458
141	The Verb in Nyakyusa	9584
142	Reflections on language evolution	1499
143	Sémantique formelle	15653
144	Analyzing meaning	55759
148	Corpus linguistics	19991
149	Beiträge zur deutschen Grammatik	10830
150	Russian verbal prefixation	1271
151	On looking into words (and beyond)	49532
152	Unity and diversity in grammaticalization scenarios	17908
153	The semantic transparency of English compound nouns	11309
154	Dynamische Modellierung von Artikulation und prosodischer Struktur	2371
155	Morphologisch komplexe Wörter	6183
156	Further investigations into the nature of phrasal compounding	22498
159	Order and structure in syntax I	30244
160	A aquisição de língua materna e não materna	91177
163	A lexicalist account of argument structure	1742
165	The lexeme in descriptive and theoretical morphology	47345
166	Ship English	3584
167	On this and other worlds	10013
173	Diachrony of differential argument marking	26724
174	A typology of questions in Northeast Asia and beyond	4655
175	Distribution und Interpretation von Modalpartikel-Kombinationen	3161
176	The Unicode cookbook for linguists	9846
177	语法理论	1085
178	Information structure in spoken Japanese	2124
179	A tale of two dialect regions	1268
180	Learning context effects	22588
181	Quality aspects in institutional translation	27787
182	The languages of Malta	41264
183	Methods in prosody	9229
184	Multiword expressions	21639
186	Analogical classification in formal grammar	1770
187	Can integrated titles improve the viewing experience?	3151
189	Advances in formal Slavic linguistics 2016	21554
190	East Benue-Congo	12817
191	The numeral system of Proto-Niger-Congo	9279
192	Theory and description in African Linguistics	31076
193	Deletion phenomena in comparative constructions	2987
194	Semantic differences in translation	1560
196	Problem solving activities in post-editing  and translation from scratch	5355
197	Syntax with oscillators and energy levels	2053
199	René de Saussure and the theory of word formation	5784
200	Curso de semântica formal	3841
201	Perspectives on information structure in Austronesian languages	16066
202	Representation and parsing of multiword expressions	8881
203	The acrolect in Jamaica	5538
204	Multiword expressions at length and in depth	18821
209	Interpreting and technology	25786
210	Sound change, priming, salience	2018
212	A grammar of Komnzo	5143
213	Multi-verb constructions in Eastern Indonesia	952
214	Form and formalism in linguistics	20149
215	Agreement, case and locality in the nominal and verbal domains	6660
216	Bridging constructions	4930
219	Information structure in Isthmus Zapotec narrative and conversation	1463
220	Explanation in typology	12340
221	Gemination and degemination in English affixation	4548
223	Grammatical gender and linguistic complexity I	11209
225	The Mehweb language	7105
226	African linguistics across the disciplines	9100
227	Definiteness across languages	16287
228	Metathesis and unmetathesis in Amarasi	1308
230	Die Entwicklung des Definitartikels im Althochdeutschen	1418
233	Information-theoretic causal inference of  lexical flow	2332
235	Arabic and contact-induced change	31915
236	Prácticas lingüísticas heterogéneas	2028
237	Grammatical gender and linguistic complexity II	12504
239	The role of constituents in multiword expressions	3928
241	Syntaxe théorique et formelle	831
242	The spell-out algorithm and lexicalization patterns	2919
245	A  dictionary and grammatical sketch of Dagaare	6420
248	Communication and content	1276
249	Highly complex syllable structure	11358
250	A grammar of Sanzhi Dargwa	2653
251	Sound structure and sound change	1549
252	Quantification and scales in change	2217
253	Greece’s labyrinth of language	3587
254	Agree to Agree	7848
256	The clausal syntax of German Sign Language	1306
258	Dative constructions in Romance and beyond	7029
259	Head-Driven Phrase Structure Grammar	15382
260	Advances in formal Slavic linguistics 2017	5309
261	Evidentiality, egophoricity and engagement	4733
262	One-to-many-relations in morphology, syntax, and semantics	2013
263	Getting others to do things	3670
265	Utterance structure in initial L2 acquisition	657
268	Third language acquisition	8178
270	On a law of Indo-European word order	1538
271	Voice at the interfaces	1403
274	Language and scientific explanation	1394
275	Syntactic architecture and its consequences I	6403
276	Syntactic architecture and its consequences II	7151
277	Syntactic architecture and its consequences III	4009
278	Interpreting language-learning data	3094
280	Advances in formal Slavic linguistics 2018	3504
281	Categoriality and continuity in prosodic prominence	697
282	Demonstratives in discourse	5134
283	Nominal anchoring	2596
286	Historical journey in a linguistic archipelago	3926
288	Translation, interpreting, cognition	3521
289	Explaining Russian-German code-mixing	1071
290	Multilingualism and third language acquisition	4891
292	Language change for the worse	1249
293	Celebrating 50 years of ACAL	2578
295	A grammar of Japhug	4144
296	Empirical studies in translation and discourse	5188
298	A grammar of Gyeli	1702
299	OV and VO variation in code-switching	750
302	Social and structural aspects of language contact and change	920
303	Computational approaches to semantic change	5785
304	Formulaic language	3779
305	German(ic) in language contact	4176
306	Descriptive and theoretical approaches to African linguistics	2193
307	The Negative Existential Cycle	1029
308	A grammar of Tuatschin	1383
311	Holisms of communication	4955
312	The Handbook of Lexical Functional Grammar	5999
313	Individual differences in early instructed language learning	3087
315	Voice syncretism	1065
316	Formal approaches to number in Slavic and beyond	2529
317	Subatomic quantification	662
318	Paradigms regained	1601
319	A short guide to post-editing	3381
320	Emergent phonology	1815
321	Experimental investigations on the syntax and usage of fragments	636
323	The size of things I	2859
324	A grammar of Choguita Rarámuri	692
325	Proto-Fula–Sereer	1323
326	A dictionary and grammatical sketch of Ruruuli-Lunyala	2719
327	Phonology in the Twentieth Century	2227
329	Morphosyntactic change in Late Modern Swedish	1548
331	Velar fronting in German dialects	219
332	Contemporary research in minoritized and diaspora languages of Europe	1802
333	Language assessment in multilingual settings	738
334	Language is a complex adaptive system	1623
336	Headedness and/or grammatical anarchy?	1154
339	Clitics in the wild	1133
340	Informationsintegration in mehrsprachigen Textchats	332
341	The  emergence of American English as a discursive variety	514
342	Machine translation for everyone	8278
343	Mediated discourse at the European Parliament	858
344	A grammar of Kalamang	1047
346	A history of English	4210
348	Computer-assisted simultaneous interpreting	290
350	Complementizers on edge	372
351	A grammar of Fwe	716
353	Germanic syntax	351
355	Tungusic languages	1456
358	Linguística clínica	4012
360	How special are early birds?	897
361	Interviews in the history of linguistics	1048
365	Production, perception, and comprehension of subphonemic detail	257
366	Usability research for interpreter-centred technology	279
369	A half century of Romance linguistics	628
371	Sprachkontrolle im Spiegel der Maschinellen Übersetzung	177
373	On reconstructing Proto-Bantu grammar	771
374	Encyclopaedia of German diatheses	233
